actorid,name,sex,fname,lname
1678374,Wanderley (III),M,Wanderley,
1678402,"Wandracsek, Tamas",M,Tamas,Wandracsek
1678417,"Wandt, Adam",M,Adam,Wandt
1678443,"Waney, Rick (I)",M,Rick,Waney
1678460,"Wang, Anie",M,Anie,Wang
1678476,"Wang, Ben (I)",M,Ben,Wang
1678480,"Wang, Biao (I)",M,Biao,Wang
1678497,"Wang, Bo Z.",M,Bo,Wang
1678506,"Wang, Bruce (I)",M,Bruce,Wang
1678525,"Wang, Charles (I)",M,Charles,Wang
1678579,"Wang, Chuen (I)",M,Chuen,Wang
1678613,"Wang, Danny (IV)",M,Danny,Wang
1678618,"Wang, David (I)",M,David,Wang
1678715,"Wang, Han Chen",M,Han,Wang
1678736,"Wang, Hongguang",M,Hongguang,Wang
1678795,"Wang, Hung-Chang",M,Hung Chang,Wang
1678958,"Wang, Lixue",M,Lixue,Wang
1678959,"Wang, Liyuan",M,Liyuan,Wang
1678969,"Wang, Lung Wei",M,Lung,Wang
1678970,"Wang, Luoyong",M,Luoyong,Wang
1678992,"Wang, Min (III)",M,Min,Wang
1679133,"Wang, Shui",M,Shui,Wang
1679180,"Wang, Tien Sing",M,Tien,Wang
1679212,"Wang, Vincent (I)",M,Vincent,Wang
1679285,"Wang, Xiaoshuai",M,Xiaoshuai,Wang
1679317,"Wang, Ya'nan",M,Yanan,Wang
1679385,"Wang, Yu (V)",M,Yu,Wang
1679458,"Wang, Zhiwen",M,Zhiwen,Wang
1679485,"Wangchuk, Jamyang Jamtsho",M,Jamyang,Wangchuk
1679487,"Wangchuk, Karma",M,Karma,Wangchuk
1679489,"Wangchuk, Namgyal",M,Namgyal,Wangchuk
1679491,"Wangchuk, Rigzin",M,Rigzin,Wangchuk
1679492,"Wangchuk, Sonam",M,Sonam,Wangchuk
1679495,"Wangda, Jurme",M,Jurme,Wangda
1679501,"Wangdue, Tsering",M,Tsering,Wangdue
1679502,"Wange, Jay",M,Jay,Wange
1679530,"Wangmo, Dickey",M,Dickey,Wangmo
1679588,"Wanka, Rolf",M,Rolf,Wanka
1679616,"Wanlu, Wu",M,Wu,Wanlu
1679636,"Wannamaker, Josh",M,Josh,Wannamaker
1679668,"Wanninger, Ashley",M,Ashley,Wanninger
1679685,"Wanrooy, Willem",M,Willem,Wanrooy
1679714,"Wansley, Larry",M,Larry,Wansley
1679743,"Wantland, Danny",M,Danny,Wantland
1679753,"Wanty, Harry",M,Harry,Wanty
1679773,"Wanzer, Anthony",M,Anthony,Wanzer
1679775,"Wanzer, Arthur",M,Arthur,Wanzer
1679814,"War Eagle, John",M,John,Eagle
1679835,"Warakagoda, Wijerathna",M,Wijerathna,Warakagoda
1679840,"Waram, Percy",M,Percy,Waram
1679843,"Waran, Shalini",M,Shalini,Waran
1679858,"Warberg, Robert",M,Robert,Warberg
