actorid,name,sex,fname,lname
4,"$hort, Too",M,Too,hort
16,"'Bear'Boyd, Steven",M,Steven,BearBoyd
28,"'Dead End' Kids, The",M,The,End
566,"Aaby, Kristian",M,Kristian,Aaby
580,Aadil,M,Aadil,
636,"Aaker, Lee",M,Lee,Aaker
769,"Aamodt, Thor Michael",M,Thor,Aamodt
797,"Aar, Jim",M,Jim,Aar
802,"Aaran, Abraxas",M,Abraxas,Aaran
808,"Aard, Frank J.",M,Frank,Aard
817,"Aardvark Bragpuss, Fritz",M,Fritz,Bragpuss
851,"Aarniokoski, Douglas",M,Douglas,Aarniokoski
888,"Aaron, Bob (I)",M,Bob,Aaron
894,"Aaron, Chad (I)",M,Chad,Aaron
923,"Aaron, James (I)",M,James,Aaron
962,"Aaron, Sam (I)",M,Sam,Aaron
978,"Aaron, Victor (I)",M,Victor,Aaron
989,"Aarons, Allan",M,Allan,Aarons
1143,"Aasland, Derek",M,Derek,Aasland
1276,"Abadal, Ignasi",M,Ignasi,Abadal
1304,"Abadia, Oscar",M,Oscar,Abadia
1348,"Abadia, Julio",M,Julio,Abadia
1391,"Abakaz, Suvit",M,Suvit,Abakaz
1517,"Abascal, Paul",M,Paul,Abascal
1535,"Abasolo, Roland T.",M,Roland,Abasolo
1554,"Abatantuono, Diego",M,Diego,Abatantuono
1556,"Abatcha, Saidou",M,Saidou,Abatcha
1583,"Abatemarco, Tony",M,Tony,Abatemarco
1588,"Abatiell, Robert",M,Robert,Abatiell
1595,"Abattucci, Serge",M,Serge,Abattucci
1710,"Abbas, Abdullah",M,Abdullah,Abbas
1805,"Abbasi, Riz",M,Riz,Abbasi
1923,"Abbey, Ian",M,Ian,Abbey
1927,"Abbey, John",M,John,Abbey
1929,"Abbey, Joshua",M,Joshua,Abbey
1930,"Abbey, Leo",M,Leo,Abbey
1982,"Abbot, Bernie",M,Bernie,Abbot
1993,"Abbot, Jerry",M,Jerry,Abbot
2000,"Abbot, Paul",M,Paul,Abbot
2007,"Abbot, Tommy",M,Tommy,Abbot
2036,"Abbott, Bruce (I)",M,Bruce,Abbott
2039,"Abbott, Bud",M,Bud,Abbott
2060,"Abbott, Dalton",M,Dalton,Abbott
2065,"Abbott, David (I)",M,David,Abbott
2085,"Abbott, Frankie",M,Frankie,Abbott
2117,"Abbott, Jamie (I)",M,Jamie,Abbott
2131,"Abbott, John (I)",M,John,Abbott
2132,"Abbott, John (II)",M,John,Abbott
2154,"Abbott, Mark (I)",M,Mark,Abbott
2177,"Abbott, Paul (I)",M,Paul,Abbott
2188,"Abbott, Ray",M,Ray,Abbott
2192,"Abbott, Richard (I)",M,Richard,Abbott
2211,"Abbott, Steve (I)",M,Steve,Abbott
2212,"Abbott, Steve (II)",M,Steve,Abbott
2225,"Abbott, Tommy",M,Tommy,Abbott
2241,"Abbou, Bernard",M,Bernard,Abbou
2274,"Abby, Joe",M,Joe,Abby
2304,"Abdala, Jose",M,Jose,Abdala
2528,"Abdellatif, Hilal",M,Hilal,Abdellatif
2540,"Abdelmajid, Baji",M,Baji,Abdelmajid
2542,"Abdelmajid, Zaouia",M,Zaouia,Abdelmajid
2553,"Abdelmonmonmeni, Kouider",M,Kouider,Abdelmonmonmeni
2563,"Abdelrasoul, Khalid",M,Khalid,Abdelrasoul
2593,"Abderrazak, Mahmoud",M,Mahmoud,Abderrazak
2645,"Abdillah, Shion",M,Shion,Abdillah
2661,"Abdo, Eddie",M,Eddie,Abdo
2799,"Abdul-Ali, Hassan",M,Hassan,Abdul Ali
2806,"Abdul-Jabbar, Kareem (I)",M,Kareem,Abdul Jabbar
2818,"Abdul-Mansour, Malek",M,Malek,Abdul Mansour
2930,"Abdullah, Joe",M,Joe,Abdullah
3055,"Abdurrahamn, Umar",M,Umar,Abdurrahamn
3105,"Abe, Hiroshi (I)",M,Hiroshi,Abe
3134,"Abe, Mario",M,Mario,Abe
3142,"Abe, Matthew",M,Matthew,Abe
3188,"Abe, Toru",M,Toru,Abe
3191,"Abe, Y. Hero",M,Y,Abe
3242,"Abed-Alnour, Youssef",M,Youssef,Abed Alnour
3300,"Abel, Alfred",M,Alfred,Abel
3344,"Abel, Joseph Patrick",M,Joseph,Abel
3391,"Abel, Walter",M,Walter,Abel
3422,"Abelanski, Lionel",M,Lionel,Abelanski
3424,"Abelar, Michael",M,Michael,Abelar
3441,"Abele, Jim (I)",M,Jim,Abele
3467,"Abelew, Alan",M,Alan,Abelew
3480,"Abell, Alistair",M,Alistair,Abell
3543,"Abelle, Janvier",M,Janvier,Abelle
3553,"Abello, Jarrett",M,Jarrett,Abello
3639,"Aber, Chuck",M,Chuck,Aber
3661,"Abercrombie, Ian",M,Ian,Abercrombie
3681,"Aberdeen, Robert",M,Robert,Aberdeen
3733,"Abernathy, Lewis",M,Lewis,Abernathy
3740,"Abernathy, Ralph",M,Ralph,Abernathy
3764,"Abers, William",M,William,Abers
3781,"Abesamis, Americus",M,Americus,Abesamis
3796,"Abete, Clemente",M,Clemente,Abete
3818,"Abeyta, John Christopher",M,John,Abeyta
3882,"Abi-Ad, Joseph",M,Joseph,Abi Ad
3976,"Abineri, John",M,John,Abineri
4010,"Abiskaron, John",M,John,Abiskaron
4047,"Abkarian, Simon",M,Simon,Abkarian
4058,"Ablaza, Billy Joel",M,Billy,Ablaza
4066,"Able, Albert",M,Albert,Able
4151,"Abney, William",M,William,Abney
4232,"Abossolo M'bo, Emile",M,Emile,Mbo
4233,"Abot, Didier",M,Didier,Abot
4258,"Abou Khalil, Fadi",M,Fadi,Khalil
4275,"Abou-Ganim, Tony",M,Tony,Abou Ganim
4333,"Aboulela, Amir",M,Amir,Aboulela
4343,"Abounouom, Ahmed",M,Ahmed,Abounouom
4357,"Aboutboul, Alon",M,Alon,Aboutboul
4398,"Abraham, Abraham",M,Abraham,Abraham
4419,"Abraham, Cesar",M,Cesar,Abraham
4448,"Abraham, F. Murray",M,F,Abraham
4450,"Abraham, Falconer",M,Falconer,Abraham
4461,"Abraham, Jake (II)",M,Jake,Abraham
4472,"Abraham, John (II)",M,John,Abraham
4477,"Abraham, Jorge",M,Jorge,Abraham
4490,"Abraham, Marc (I)",M,Marc,Abraham
4521,"Abraham, Richard",M,Richard,Abraham
4536,"Abraham, Sean",M,Sean,Abraham
4548,"Abraham, Walter",M,Walter,Abraham
4556,"Abraham-Kremer, Bruno",M,Bruno,Abraham Kremer
4580,"Abrahams, Charlie",M,Charlie,Abrahams
4590,"Abrahams, Doug",M,Doug,Abrahams
4600,"Abrahams, Irving",M,Irving,Abrahams
4602,"Abrahams, Jamie",M,Jamie,Abrahams
4604,"Abrahams, Jim",M,Jim,Abrahams
4605,"Abrahams, Jody",M,Jody,Abrahams
4607,"Abrahams, Jon (I)",M,Jon,Abrahams
4609,"Abrahams, Jonathan",M,Jonathan,Abrahams
4611,"Abrahams, Joseph 'Bambi'",M,Joseph,Abrahams
4667,"Abrahamson, Peter",M,Peter,Abrahamson
4700,"Abrahms, Edward",M,Edward,Abrahms
4781,"Abramov, Oleg",M,Oleg,Abramov
4881,"Abrams, Dennis",M,Dennis,Abrams
4909,"Abrams, J.J.",M,JJ,Abrams
4954,"Abrams, Noah",M,Noah,Abrams
4972,"Abrams, Sol",M,Sol,Abrams
4973,"Abrams, Solomon",M,Solomon,Abrams
5012,"Abramson, Jeffrey (I)",M,Jeffrey,Abramson
5034,"Abramson, Stuart",M,Stuart,Abramson
5079,"Abratowski, Ed",M,Ed,Abratowski
5094,"Abrego, Fidel",M,Fidel,Abrego
5104,"Abrell, Brad",M,Brad,Abrell
5163,"Abreu, Jorge Luis",M,Jorge,Abreu
5164,"Abreu, Jorne",M,Jorne,Abreu
5268,"Abrishami, Khosrow",M,Khosrow,Abrishami
5282,"Abrolat, Werner",M,Werner,Abrolat
5380,"Absolom, Malcolm",M,Malcolm,Absolom
5552,"Abuba, Ernest",M,Ernest,Abuba
5608,"Abugov, Adam",M,Adam,Abugov
5609,"Abugov, Jeff",M,Jeff,Abugov
5610,"Abugov, Tyler",M,Tyler,Abugov
5681,"Abuse, Bob",M,Bob,Abuse
5733,"Abzada, Jacqui",M,Jacqui,Abzada
5834,"Acaso, Felix",M,Felix,Acaso
5873,"Accardo, Tommaso",M,Tommaso,Accardo
5894,"Acciarito, Frankie",M,Frankie,Acciarito
5901,"Accinelli, Luis",M,Luis,Accinelli
5909,"Accioly, Nilson",M,Nilson,Accioly
5917,"Accolas, Raymond",M,Raymond,Accolas
5969,Ace (XV),M,Ace,
5971,Ace (XVII),M,Ace,
5988,"Ace, Martin",M,Martin,Ace
6096,"Acevebo, Art",M,Art,Acevebo
6163,"Acevedo, Jon",M,Jon,Acevedo
6173,"Acevedo, Kirk",M,Kirk,Acevedo
6224,"Aceves Castaneda, Luis",M,Luis,Castaneda
6292,"Achar, Ravi",M,Ravi,Achar
6293,"Achara, Basile",M,Basile,Achara
6360,"Achdjian, Patrick",M,Patrick,Achdjian
6369,Achee,M,Achee,
6403,"Acheson, Dean (I)",M,Dean,Acheson
6409,"Acheson, James (II)",M,James,Acheson
6413,"Acheson, Mark",M,Mark,Acheson
6442,"Achilles, Damian",M,Damian,Achilles
6507,"Achorn, John",M,John,Achorn
6528,"Achtel, Dieter",M,Dieter,Achtel
6584,"Acimovic, Dejan",M,Dejan,Acimovic
6685,"Ackerman, Don (III)",M,Don,Ackerman
6692,"Ackerman, Forrest J",M,Forrest,Ackerman
6719,"Ackerman, Karl",M,Karl,Ackerman
6742,"Ackerman, Robert (I)",M,Robert,Ackerman
6751,"Ackerman, Stanley",M,Stanley,Ackerman
6760,"Ackerman, Walter",M,Walter,Ackerman
6830,"Ackland, Joss",M,Joss,Ackland
6837,"Ackland, Rodney",M,Rodney,Ackland
6845,"Ackler, Joseph",M,Joseph,Ackler
6852,"Ackles, Ken",M,Ken,Ackles
6870,"Ackman, Cole",M,Cole,Ackman
6879,"Ackridge, Bill",M,Bill,Ackridge
6893,"Ackroyd, Jack (II)",M,Jack,Ackroyd
6959,"Aconito Deribatti, Francesco",M,Francesco,Deribatti
7058,"Acosta, David (I)",M,David,Acosta
7072,"Acosta, Enrique (I)",M,Enrique,Acosta
7075,"Acosta, Eric (II)",M,Eric,Acosta
7126,"Acosta, Jose Alberto",M,Jose,Acosta
7155,"Acosta, Manuel",M,Manuel,Acosta
7197,"Acosta, Richard",M,Richard,Acosta
7246,"Acovone, Jay",M,Jay,Acovone
7306,"Acres, Graham",M,Graham,Acres
7349,"Acton, David (I)",M,David,Acton
7370,"Acton, Spencer",M,Spencer,Acton
7389,"Acuff, David",M,David,Acuff
7390,"Acuff, Eddie",M,Eddie,Acuff
7426,"Acunzo, Giseppe",M,Giseppe,Acunzo
7550,"Adachi, Yoshi",M,Yoshi,Adachi
7598,"Adair, Gilbert",M,Gilbert,Adair
7636,"Adair, Robert (I)",M,Robert,Adair
7650,"Adair, Tim (II)",M,Tim,Adair
7654,"Adair-Rios, Mark",M,Mark,Adair Rios
7662,"Adakai-Nez, Randy",M,Randy,Adakai Nez
7716,"Adam, Acram",M,Acram,Adam
7811,"Adam, Joel",M,Joel,Adam
7825,"Adam, Ken",M,Ken,Adam
7882,"Adam, Ronald",M,Ronald,Adam
8124,"Adamonis, John",M,John,Adamonis
8125,"Adamonis, Kyle",M,Kyle,Adamonis
8138,"Adamos, Archie",M,Archie,Adamos
8192,"Adams Jr., Quincy",M,Quincy,
8214,"Adams, Albert (I)",M,Albert,Adams
8257,"Adams, Arthur (I)",M,Arthur,Adams
8260,"Adams, Ash (I)",M,Ash,Adams
8308,"Adams, Blake",M,Blake,Adams
8309,"Adams, Bob (I)",M,Bob,Adams
8325,"Adams, Brandon Quintin",M,Brandon,Adams
8361,"Adams, Bryan (I)",M,Bryan,Adams
8385,"Adams, Carroll",M,Carroll,Adams
8393,"Adams, Cedric (I)",M,Cedric,Adams
8484,"Adams, Daniel (V)",M,Daniel,Adams
8498,"Adams, Dave (I)",M,Dave,Adams
8519,"Adams, David (VII)",M,David,Adams
8566,"Adams, Doc",M,Doc,Adams
8571,"Adams, Don (I)",M,Don,Adams
8579,"Adams, Donald (I)",M,Donald,Adams
8595,"Adams, Ed (I)",M,Ed,Adams
8597,"Adams, Eddie (III)",M,Eddie,Adams
8621,"Adams, Erik",M,Erik,Adams
8623,"Adams, Ernie (I)",M,Ernie,Adams
8624,"Adams, Ernie (II)",M,Ernie,Adams
8628,"Adams, Evan (I)",M,Evan,Adams
8652,"Adams, Gary (I)",M,Gary,Adams
8692,"Adams, Guilford",M,Guilford,Adams
8703,"Adams, Harry",M,Harry,Adams
8704,"Adams, Harvey",M,Harvey,Adams
8730,"Adams, J. Todd",M,J,Adams
8732,"Adams, J. Wesley",M,J,Adams
8733,"Adams, J.B.",M,JB,Adams
8737,"Adams, Jack (IV)",M,Jack,Adams
8745,"Adams, Jacob (I)",M,Jacob,Adams
8785,"Adams, Jay (I)",M,Jay,Adams
8794,"Adams, Jeb Stuart",M,Jeb,Adams
8817,"Adams, Jesse (I)",M,Jesse,Adams
8821,"Adams, Jesse (VIII)",M,Jesse,Adams
8832,"Adams, Joe (IV)",M,Joe,Adams
8883,"Adams, Jonathan (I)",M,Jonathan,Adams
8884,"Adams, Jonathan (II)",M,Jonathan,Adams
8919,"Adams, Joshua A.",M,Joshua,Adams
8992,"Adams, Lee (I)",M,Lee,Adams
9014,"Adams, Lloyd",M,Lloyd,Adams
9020,"Adams, Lowden",M,Lowden,Adams
9037,"Adams, Manley",M,Manley,Adams
9049,"Adams, Mark (XIII)",M,Mark,Adams
9065,"Adams, Martin (I)",M,Martin,Adams
9071,"Adams, Mason (I)",M,Mason,Adams
9074,"Adams, Matt (I)",M,Matt,Adams
9097,"Adams, Michael (I)",M,Michael,Adams
9180,"Adams, Nick (I)",M,Nick,Adams
9233,"Adams, Peter (I)",M,Peter,Adams
9235,"Adams, Peter (V)",M,Peter,Adams
9244,"Adams, Phil (I)",M,Phil,Adams
9253,"Adams, R.J.",M,RJ,Adams
9259,"Adams, Randall (I)",M,Randall,Adams
9284,"Adams, Richard (VIII)",M,Richard,Adams
9299,"Adams, Rick (III)",M,Rick,Adams
9303,"Adams, Rob (I)",M,Rob,Adams
9308,"Adams, Robert (I)",M,Robert,Adams
9310,"Adams, Robert (IV)",M,Robert,Adams
9369,"Adams, Samuel (I)",M,Samuel,Adams
9404,"Adams, Shea (I)",M,Shea,Adams
9407,"Adams, Simon (I)",M,Simon,Adams
9419,"Adams, Stan (I)",M,Stan,Adams
9422,"Adams, Stanley (I)",M,Stanley,Adams
9431,"Adams, Steve (I)",M,Steve,Adams
9451,"Adams, T.C. (I)",M,TC,Adams
9457,"Adams, Ted (I)",M,Ted,Adams
9462,"Adams, Terry (III)",M,Terry,Adams
9471,"Adams, Thomas (I)",M,Thomas,Adams
9481,"Adams, Timothy (I)",M,Timothy,Adams
9492,"Adams, Tom (I)",M,Tom,Adams
9506,"Adams, Tony (I)",M,Tony,Adams
9557,"Adams, Warren Frederick",M,Warren,Adams
9577,"Adams, William (II)",M,William,Adams
9581,"Adams, Willie (I)",M,Willie,Adams
9622,"Adamski, Michael (II)",M,Michael,Adamski
9632,"Adamson, 'J.J.' Joseph Otieno",M,JJ,Adamson
9649,"Adamson, Christopher (I)",M,Christopher,Adamson
9650,"Adamson, Chuck",M,Chuck,Adamson
9656,"Adamson, David John",M,David,Adamson
9661,"Adamson, Frank (I)",M,Frank,Adamson
9670,"Adamson, James (I)",M,James,Adamson
9683,"Adamson, Joseph",M,Joseph,Adamson
9685,"Adamson, Kent",M,Kent,Adamson
9698,"Adamson, Patrick",M,Patrick,Adamson
9703,"Adamson, Raymond",M,Raymond,Adamson
9734,"Adamstein, Dana",M,Dana,Adamstein
9842,"Adcock, Kirk",M,Kirk,Adcock
9860,"Adcox-Hernandez, Thom",M,Thom,Adcox Hernandez
9968,"Addie, Robert",M,Robert,Addie
9981,"Addington, John (I)",M,John,Addington
10001,"Addis, Keith",M,Keith,Addis
10009,"Addis, Richard (I)",M,Richard,Addis
10013,"Addison, Bernard (I)",M,Bernard,Addison
10054,"Addison, Mark (I)",M,Mark,Addison
10078,"Addison, Walter",M,Walter,Addison
10095,"Addobbati, Giuseppe",M,Giuseppe,Addobbati
10099,"Addota, Kip",M,Kip,Addota
10102,"Adducci, Franco",M,Franco,Adducci
10113,"Addy, Mark",M,Mark,Addy
10119,"Addy, Wesley",M,Wesley,Addy
10120,"Addy, William",M,William,Addy
10128,"Ade, Dayo",M,Dayo,Ade
10132,"Ade, Herbie",M,Herbie,Ade
10196,"Adedunyo, Obaka",M,Obaka,Adedunyo
10236,"Adejugbe, Ayo",M,Ayo,Adejugbe
10345,"Adelman, Jason (I)",M,Jason,Adelman
10356,"Adelman, Skippy",M,Skippy,Adelman
10394,"Adelstein, Paul",M,Paul,Adelstein
10406,"Adem, Yashaw",M,Yashaw,Adem
10421,"Ademir Dos Santos, Jose",M,Jose,Dos
10491,"Ader, Bob",M,Bob,Ader
10519,"Aderias, Frank",M,Frank,Aderias
10527,"Aderneck, Stephen",M,Stephen,Aderneck
10528,"Aderrahim, Ahmed",M,Ahmed,Aderrahim
10531,"Ades, Daniel",M,Daniel,Ades
10559,"Adet, Georges",M,Georges,Adet
10589,"Adeyemi, Ayo",M,Ayo,Adeyemi
10668,"Adi, Cesar",M,Cesar,Adi
10674,"Adiarte, Patrick",M,Patrick,Adiarte
10698,"Adido, David",M,David,Adido
10765,"Adisa, Lawrence B.",M,Lawrence,Adisa
10842,"Adjeri, Ranzi",M,Ranzi,Adjeri
10887,"Adkins, David (I)",M,David,Adkins
10910,"Adkins, Jeff",M,Jeff,Adkins
10927,"Adkins, Loren",M,Loren,Adkins
10950,"Adkins, Richard C.",M,Richard,Adkins
10957,"Adkins, Seth (I)",M,Seth,Adkins
11038,"Adler, Bill (I)",M,Bill,Adler
11047,"Adler, Bruce",M,Bruce,Adler
11052,"Adler, Charles (I)",M,Charles,Adler
11084,"Adler, Felix (I)",M,Felix,Adler
11087,"Adler, Frank J.",M,Frank,Adler
11105,"Adler, Henry",M,Henry,Adler
11117,"Adler, Jay",M,Jay,Adler
11122,"Adler, Jerry (I)",M,Jerry,Adler
11134,"Adler, Jonathan (II)",M,Jonathan,Adler
11159,"Adler, Luther",M,Luther,Adler
11165,"Adler, Matt",M,Matt,Adler
11168,"Adler, Michael (I)",M,Michael,Adler
11202,"Adler, Roger",M,Roger,Adler
11261,"Adlon, Louis",M,Louis,Adlon
11267,"Adlum, Zane",M,Zane,Adlum
11269,"Adly Guirgis, Stephen",M,Stephen,Guirgis
11438,"Adonis, Frank",M,Frank,Adonis
11465,"Adorf, Mario",M,Mario,Adorf
11499,"Adoti, Razaaq",M,Razaaq,Adoti
11502,"Adouani, Mustapha",M,Mustapha,Adouani
11548,"Adriaans, Mark",M,Mark,Adriaans
11590,"Adrian, Bob (I)",M,Bob,Adrian
11605,"Adrian, George (I)",M,George,Adrian
11625,"Adrian, Mark (II)",M,Mark,Adrian
11644,"Adrian, Walter",M,Walter,Adrian
11703,"Adric, Daniel",M,Daniel,Adric
11723,"Adrisani, Emilio",M,Emilio,Adrisani
11762,"Adu, Frank",M,Frank,Adu
11771,"Adu, Robinson Frank",M,Robinson,Adu
11833,"Adway, Dwayne",M,Dwayne,Adway
11868,"Adzovic, Jadranka",M,Jadranka,Adzovic
11882,"Ade, Eric",M,Eric,Ade
11966,"Aeros, Germain",M,Germain,Aeros
12121,"Affif, Ron",M,Ron,Affif
12127,"Affleck, Ben",M,Ben,Affleck
12130,"Affleck, Casey",M,Casey,Affleck
12137,"Affleck, Rab",M,Rab,Affleck
12193,"Afifi, Mohammed (I)",M,Mohammed,Afifi
12308,"Afrakhan, Behrooz",M,Behrooz,Afrakhan
12398,"Afshar, Ali",M,Ali,Afshar
12544,"Agajanian Jr., J.C.",M,JC,
12547,"Agajanian, Christopher J.C.",M,Christopher,Agajanian
12564,"Agami, Al",M,Al,Agami
12629,"Agar, John",M,John,Agar
12663,"Agarwal, Anirudh",M,Anirudh,Agarwal
12712,"Agashe, Mohan",M,Mohan,Agashe
12738,"Agata, Toshiya (I)",M,Toshiya,Agata
12871,Agee,M,Agee,
12874,"Agee, Arthur",M,Arthur,Agee
12875,"Agee, Arthur 'Bo'",M,Arthur,Agee
12883,"Agee, Jerry",M,Jerry,Agee
12884,"Agee, Joe 'Sweetie'",M,Joe,Agee
12899,"Agee, Timothy Dale",M,Timothy,Agee
13061,"Agha, Jalal",M,Jalal,Agha
13146,"Agie, Awaovieyi",M,Awaovieyi,Agie
13167,"Agins, Robert",M,Robert,Agins
13178,"Agirre, Ramon",M,Ramon,Agirre
13307,"Agnew, Iain",M,Iain,Agnew
13310,"Agnew, James D.",M,James,Agnew
13334,"Agnew, Spiro",M,Spiro,Agnew
13384,"Agona, Joel",M,Joel,Agona
13484,"Agostino, Salvatore",M,Salvatore,Agostino
13500,"Agosto, William",M,William,Agosto
13513,"Agoun, Nabil",M,Nabil,Agoun
13538,"Agrait, Carlos Joshua",M,Carlos,Agrait
13559,"Agranov, David",M,David,Agranov
13618,"Agress, Harry",M,Harry,Agress
13621,"Agresta, Mike",M,Mike,Agresta
13625,"Agresti, Ed",M,Ed,Agresti
13636,"Agri, Antonio",M,Antonio,Agri
13669,"Agrusso, Micheal",M,Micheal,Agrusso
13700,"Aguado, Bill",M,Bill,Aguado
13775,"Aguayo, Richard Todd",M,Richard,Aguayo
13825,"Aguero, Juan Manuel",M,Juan,Aguero
13951,"Aguilar Jr., Robert",M,Robert,
13984,"Aguilar, Andrew (III)",M,Andrew,Aguilar
13987,"Aguilar, Anthony (I)",M,Anthony,Aguilar
14017,"Aguilar, Carmelo",M,Carmelo,Aguilar
14083,"Aguilar, G.A.",M,GA,Aguilar
14090,"Aguilar, George (I)",M,George,Aguilar
14124,"Aguilar, Jesus (I)",M,Jesus,Aguilar
14144,"Aguilar, Joseph (I)",M,Joseph,Aguilar
14236,"Aguilar, Perfideo",M,Perfideo,Aguilar
14327,"Aguilera, Eric",M,Eric,Aguilera
14525,"Aguirre, Genaro",M,Genaro,Aguirre
14628,"Aguirre, Sergio (I)",M,Sergio,Aguirre
14746,"Agustin, Marvin",M,Marvin,Agustin
14824,"Ah Mon, Lawrence",M,Lawrence,Mon
14882,"Ahamdloo, Hossein",M,Hossein,Ahamdloo
14885,"Ahamed, Saikat",M,Saikat,Ahamed
14951,"Ahdar, David",M,David,Ahdar
14993,"Ahearne, Tom",M,Tom,Ahearne
14994,"Ahed, Benyahim",M,Benyahim,Ahed
15023,"Ahern, David (I)",M,David,Ahern
15028,"Ahern, James 'Sporty'",M,James,Ahern
15035,"Ahern, Liam (I)",M,Liam,Ahern
15041,"Ahern, Pat",M,Pat,Ahern
15053,"Ahern, Tim (I)",M,Tim,Ahern
15060,"Aherne, Brian (I)",M,Brian,Aherne
15066,"Aherne, Kieran",M,Kieran,Aherne
15068,"Aherne, Michael",M,Michael,Aherne
15070,"Aherne, Patrick",M,Patrick,Aherne
15094,"Ahipene, Hori",M,Hori,Ahipene
15127,"Ahl, Georg (II)",M,Georg,Ahl
15130,"Ahl, Michael",M,Michael,Ahl
15133,"Ahlander, Bjorn",M,Bjorn,Ahlander
15183,"Ahlers, David Ozzie",M,David,Ahlers
15186,"Ahlers, Robert",M,Robert,Ahlers
15197,"Ahlf, Al",M,Al,Ahlf
15283,"Ahlstedt, Borje",M,Borje,Ahlstedt
15309,"Ahlurlia, Jason",M,Jason,Ahlurlia
15314,"Ahluwalia, Gurjeet",M,Gurjeet,Ahluwalia
15435,"Ahmadai, Obaid",M,Obaid,Ahmadai
15552,"Ahmed, Ahmed",M,Ahmed,Ahmed
15639,"Ahmed, Kamal (I)",M,Kamal,Ahmed
15654,"Ahmed, Makoula",M,Makoula,Ahmed
15840,"Ahmetovic, Nazifa",M,Nazifa,Ahmetovic
15911,"Ahn, Philip",M,Philip,Ahn
15913,"Ahn, Philson",M,Philson,Ahn
15914,"Ahn, Ralph",M,Ralph,Ahn
16037,"Ahola-Valo, Aleksanteri",M,Aleksanteri,Ahola Valo
16093,"Ahouari, Benhaissa",M,Benhaissa,Ahouari
16134,"Ahrens, Christopher (I)",M,Christopher,Ahrens
16280,"Ahumada, Alfredo",M,Alfredo,Ahumada
16387,"Aicher, Marius",M,Marius,Aicher
16448,"Aiden, James",M,James,Aiden
16459,"Aidman, Charles",M,Charles,Aidman
16473,"Aiello III, Danny",M,Danny,III
16475,"Aiello, Anthony (I)",M,Anthony,Aiello
16484,"Aiello, Danny",M,Danny,Aiello
16511,"Aiello, Pier Francesco",M,Pier,Aiello
16513,"Aiello, Pinky",M,Pinky,Aiello
16516,"Aiello, Rick",M,Rick,Aiello
16645,"Aiken, Liam",M,Liam,Aiken
16646,"Aiken, Loclann",M,Loclann,Aiken
16710,"Aikman, Luke",M,Luke,Aikman
16713,"Aikman, Troy",M,Troy,Aikman
16770,"Aimer, Travis Cody",M,Travis,Aimer
16822,"Ainge, Danny",M,Danny,Ainge
16843,"Ainley, Richard",M,Richard,Ainley
16867,"Ainsley, Norman",M,Norman,Ainsley
17017,"Airey, Keith (I)",M,Keith,Airey
17024,"Airgood, Thomas",M,Thomas,Airgood
17033,Airin,M,Airin,
17035,"Airington, Michael",M,Michael,Airington
17043,"Airlie, Andrew",M,Andrew,Airlie
17057,"Airola, Jean-Louis",M,Jean Louis,Airola
17094,"Aisenberg, Leonardo",M,Leonardo,Aisenberg
17134,"Ait Fdil Ahmed, Mahamed",M,Mahamed,Fdil
17168,"Aitchinson, Peter",M,Peter,Aitchinson
17244,"Aitken, Tony (I)",M,Tony,Aitken
17339,"Aizenberg, Lior",M,Lior,Aizenberg
17436,"Ajaye, Franklyn",M,Franklyn,Ajaye
17462,"Ajdini, Florijan",M,Florijan,Ajdini
17497,"Ajibade, Yemi",M,Yemi,Ajibade
17670,"Akahoshi, Steve",M,Steve,Akahoshi
17757,"Akar, Haydar",M,Haydar,Akar
17768,"Akare, Thomas",M,Thomas,Akare
18091,"Akerman, Jeremy",M,Jeremy,Akerman
18152,"Akerstream, Marc",M,Marc,Akerstream
18167,"Akey, William",M,William,Akey
18337,Aki (I),M,Aki,
18404,Akima,M,Akima,
18430,"Akimoto, Yosuke",M,Yosuke,Akimoto
18487,"Akin, Philip",M,Philip,Akin
18541,"Akinnuoye-Agbaje, Adewale",M,Adewale,Akinnuoye Agbaje
18557,"Akins, Billy",M,Billy,Akins
18560,"Akins, Charles (I)",M,Charles,Akins
18562,"Akins, Claude",M,Claude,Akins
18574,"Akins, Joe",M,Joe,Akins
18587,"Akins, Sid",M,Sid,Akins
18640,"Akira, Sean",M,Sean,Akira
18671,"Akitsu, Hiroshi (I)",M,Hiroshi,Akitsu
18687,"Akiyama, Denis",M,Denis,Akiyama
18830,"Akkus, Orhan",M,Orhan,Akkus
18847,"Aklin, Will",M,Will,Aklin
18962,"Akpata, Pearce",M,Pearce,Akpata
19014,"Akrawi, Mike",M,Mike,Akrawi
19015,"Akrawi, Romeo",M,Romeo,Akrawi
19068,"Aksentiy, Yuriy",M,Yuriy,Aksentiy
19220,"Akutagawa, Hiroshi",M,Hiroshi,Akutagawa
19607,"Al, Big (I)",M,Big,Al
19669,"al-Assad, Hafez",M,Hafez,al Assad
19692,"Al-Badri, Fadil",M,Fadil,Al Badri
19728,"Al-Dawalem, Abdullah",M,Abdullah,Al Dawalem
19803,"Al-Hamd, Ismael",M,Ismael,Al Hamd
19847,"Al-Jalahma, Mohamad",M,Mohamad,Al Jalahma
19887,"Al-Khan, Ahmed",M,Ahmed,Al Khan
19888,"Al-Khan, Amer",M,Amer,Al Khan
19899,"Al-Khazraji, Jassim",M,Jassim,Al Khazraji
