writerid,name,fname,lname
242741,"Merendino, James",Merendino, James
242887,"Merlet, Agnès",Merlet, Agnes
242954,"Merrick, Monte",Merrick, Monte
243273,"Messick, Dale",Messick, Dale
243302,"Messina, Philip Frank",Messina, Philip Frank
243332,"Messner, Reinhold",Messner, Reinhold
243427,"Metcalfe, Stephen (I)",Metcalfe, Stephen
243429,"Metcalfe, Tim (I)",Metcalfe, Tim
243663,"Meyer Burnett, Robert",Meyer Burnett, Robert
243782,"Meyer, Kevin (I)",Meyer, Kevin
243812,"Meyer, Nicholas",Meyer, Nicholas
243824,"Meyer, Randy",Meyer, Randy
243838,"Meyer, Russ (I)",Meyer, Russ
243868,"Meyer, Turi",Meyer, Turi
243941,"Meyers, Nancy",Meyers, Nancy
243961,"Meyjes, Menno",Meyjes, Menno
244153,"Michael, Greg (I)",Michael, Greg
244220,"Michaels, Bret",Michaels, Bret
244248,"Michaels, Lorne",Michaels, Lorne
244365,"Michaël, Simon",Michael, Simon
244428,"Michelberger, Erwin",Michelberger, Erwin
244495,"Michener, David",Michener, David
244496,"Michener, James",Michener, James
244552,"Mickelberry, William",Mickelberry, William
244693,"Mieczkowski, Rondo",Mieczkowski, Rondo
244820,"Migliorini, Romano",Migliorini, Romano
244827,"Mignatti, Victor",Mignatti, Victor
244884,"Mihaileanu, Radu",Mihaileanu, Radu
244949,"Mihic, Gordan",Mihic, Gordan
245009,"Mikami, Otokichi",Mikami, Otokichi
245050,"Mikhalkov, Nikita",Mikhalkov, Nikita
245250,"Milbauer, Ron",Milbauer, Ron
245386,"Milestone, Lewis",Milestone, Lewis
245447,"Milicevic, Djordje",Milicevic, Djordje
245479,"Milius, John",Milius, John
245545,"Millar, Miles",Millar, Miles
245640,"Miller, Andrew (I)",Miller, Andrew
245652,"Miller, Arthur (I)",Miller, Arthur
245725,"Miller, Chris (III)",Miller, Chris
245735,"Miller, Christine (I)",Miller, Christine
245748,"Miller, Claude (I)",Miller, Claude
245793,"Miller, David Lee (I)",Miller, David Lee
245834,"Miller, Frank (II)",Miller, Frank
245859,"Miller, George (II)",Miller, George
245884,"Miller, Harvey (I)",Miller, Harvey
245893,"Miller, Herman (I)",Miller, Herman
246058,"Miller, Linda (II)",Miller, Linda
246082,"Miller, Mark (I)",Miller, Mark
246216,"Miller, Rebecca (I)",Miller, Rebecca
246290,"Miller, Seton I.",Miller, Seton I 
246325,"Miller, Sue (IV)",Miller, Sue
246359,"Miller, Victor (I)",Miller, Victor
246362,"Miller, Warren (II)",Miller, Warren
246411,"Millgate, Irvine H.",Millgate, Irvine H 
246412,"Millhauser, Bertram",Millhauser, Bertram
246469,"Milling, Bill",Milling, Bill
246587,"Mills, Mark (I)",Mills, Mark
246627,"Mills, Sherry (I)",Mills, Sherry
246684,"Milne, A.A.",Milne, A A 
246696,"Milne, Paula",Milne, Paula
246811,"Milton, David Scott",Milton, David Scott
246841,"Milushev, Boyan",Milushev, Boyan
246882,"Mimura, Wataru",Mimura, Wataru
246923,"Minahan, Daniel",Minahan, Daniel
247030,"Miner, Michael (I)",Miner, Michael
247069,"Minghella, Anthony",Minghella, Anthony
247176,"Minoff, Lee",Minoff, Lee
247207,"Minot, Susan",Minot, Susan
247265,"Mintz, Jack (I)",Mintz, Jack
247279,"Mintz, Sam (I)",Mintz, Sam
247538,"Mirman, Brad",Mirman, Brad
247686,"Misharin, Aleksandr",Misharin, Aleksandr
247692,"Mishima, Yukio",Mishima, Yukio
247900,"Mitchard, Jacquelyn",Mitchard, Jacquelyn
248067,"Mitchell, Jim (VI)",Mitchell, Jim
248083,"Mitchell, Joseph (I)",Mitchell, Joseph
248084,"Mitchell, Joseph A.",Mitchell, Joseph A 
248089,"Mitchell, Julian (I)",Mitchell, Julian
248099,"Mitchell, Keith (II)",Mitchell, Keith
248124,"Mitchell, Margaret (I)",Mitchell, Margaret
248206,"Mitchell, Steve (V)",Mitchell, Steve
248342,"Mitrevski, Darko",Mitrevski, Darko
248436,"Mitterrand, Frédéric",Mitterrand, Frederic
248536,"Miyamoto, Yoshiko",Miyamoto, Yoshiko
248583,"Miyazaki, Hayao",Miyazaki, Hayao
248638,"Mizrahi, Moshé",Mizrahi, Moshe
248788,"Mo, Yan",Mo, Yan
248821,"Moberly-Holland, Sylvia",Moberly-Holland, Sylvia
248871,"Mock, Freida Lee",Mock, Freida Lee
249074,"Moffat, Ivan",Moffat, Ivan
249543,"Moland, Hans Petter",Moland, Hans Petter
249734,"Molinari, Maria (II)",Molinari, Maria
249740,"Molinaro, Edouard",Molinaro, Edouard
249813,"Mollenhauer, Bernd",Mollenhauer, Bernd
249896,"Moloney, Jim",Moloney, Jim
250057,"Monash, Paul",Monash, Paul
250081,"Moncada, Santiago",Moncada, Santiago
250172,"Mones, Paul (I)",Mones, Paul
250233,"Monger, Christopher",Monger, Christopher
250234,"Monger, Ivor",Monger, Ivor
250259,"Monicelli, Mario",Monicelli, Mario
250337,"Monleón, Rafael",Monleon, Rafael
250503,"Montagu, Ashley",Montagu, Ashley
250536,"Montaldo, Giuliano",Montaldo, Giuliano
250701,"Monteleone, Enzo",Monteleone, Enzo
250956,"Montgomery, Sam (I)",Montgomery, Sam
251179,"Moody, Rick (I)",Moody, Rick
251353,"Moore, Bob (I)",Moore, Bob
251359,"Moore, Brian (III)",Moore, Brian
251417,"Moore, Daniel (I)",Moore, Daniel
251576,"Moore, Kenny (I)",Moore, Kenny
251619,"Moore, Michael (II)",Moore, Michael
251677,"Moore, Robin (I)",Moore, Robin
251682,"Moore, Ronald D.",Moore, Ronald D 
251717,"Moore, Simon (I)",Moore, Simon
251749,"Moore, Thomas (VI)",Moore, Thomas
251776,"Moore, Tyler Wolfgang",Moore, Tyler Wolfgang
251920,"Mora, Philippe",Mora, Philippe
252155,"Moran, Jack (I)",Moran, Jack
252242,"Moranis, Rick",Moranis, Rick
252271,"Moravia, Alberto",Moravia, Alberto
252324,"Mordillat, Gérard",Mordillat, Gerard
252698,"Moretti, Nanni",Moretti, Nanni
252714,"Moreu, Rafael",Moreu, Rafael
252720,"Morey, Larry",Morey, Larry
252779,"Morgan, Byron",Morgan, Byron
252830,"Morgan, Gabriel",Morgan, Gabriel
252835,"Morgan, Glen",Morgan, Glen
252942,"Morgan, Peter (I)",Morgan, Peter
253046,"Morgiève, Richard",Morgieve, Richard
253242,"Morita, Roy",Morita, Roy
253346,"Mornin, Daniel",Mornin, Daniel
253447,"Morrell, David (I)",Morrell, David
253485,"Morris, Ben (II)",Morris, Ben
253500,"Morris, Bruce (I)",Morris, Bruce
253551,"Morris, Errol",Morris, Errol
253588,"Morris, James (IV)",Morris, James
253622,"Morris, Judy (I)",Morris, Judy
253755,"Morris, Willie (I)",Morris, Willie
253885,"Morrison, Toni",Morrison, Toni
253914,"Morrissey, Paul (I)",Morrissey, Paul
253935,"Morrow, Barry",Morrow, Barry
254018,"Morsella, Fulvio",Morsella, Fulvio
254106,"Mortimer, John (I)",Mortimer, John
254184,"Morton, Philip (I)",Morton, Philip
254257,"Moscati, Italo",Moscati, Italo
254316,"Mosenzon, Yigal",Mosenzon, Yigal
254406,"Mosher, Bob (I)",Mosher, Bob
254501,"Mosley, Walter",Mosley, Walter
254544,"Moss, Frank L.",Moss, Frank L 
254661,"Mostow, Jonathan",Mostow, Jonathan
254813,"Mottola, Greg",Mottola, Greg
255060,"Moussy, Marcel",Moussy, Marcel
255103,"Moverman, Oren",Moverman, Oren
255116,"Mowat, Farley",Mowat, Farley
255208,"Moyle, Allan",Moyle, Allan
255429,"Mudie, Doris",Mudie, Doris
255808,"Mulcahy, Terence",Mulcahy, Terence
255868,"Mulholland, Jim",Mulholland, Jim
255880,"Mulisch, Harry",Mulisch, Harry
255915,"Mullany, Mitch",Mullany, Mitch
256059,"Mullin, Eugene",Mullin, Eugene
256127,"Mulroney, Brian (II)",Mulroney, Brian
256246,"Mundi, Robert",Mundi, Robert
256280,"Mungia, Lance",Mungia, Lance
256284,"Mungo, Carrie",Mungo, Carrie
256416,"Munro, Rona",Munro, Rona
256444,"Munson, Craig (I)",Munson, Craig
256520,"Murai, Sadayuki",Murai, Sadayuki
256629,"Murata, Takeo",Murata, Takeo
256663,"Murch, Walter",Murch, Walter
256739,"Murfin, Jane",Murfin, Jane
256841,"Murphey, Michael S.",Murphey, Michael S 
256887,"Murphy, Charles Q.",Murphy, Charles Q 
256928,"Murphy, Dudley (I)",Murphy, Dudley
256931,"Murphy, Eddie (I)",Murphy, Eddie
257022,"Murphy, Kevin (II)",Murphy, Kevin
257170,"Murphy, Tab",Murphy, Tab
257185,"Murphy, Warren",Murphy, Warren
257215,"Murray, Bill (I)",Murray, Bill
257643,"Musker, John",Musker, John
257826,"Mutrux, Floyd",Mutrux, Floyd
257896,"Muñiz, Ángel",Muniz, Angel
258036,"Mycroft, Walter C.",Mycroft, Walter C 
258131,"Myers, Michael Scott",Myers, Michael Scott
258133,"Myers, Mike (I)",Myers, Mike
258153,"Myers, Scott (I)",Myers, Scott
258173,"Myers, Zion",Myers, Zion
258209,"Mylander, Maureen",Mylander, Maureen
258271,"Myrick, Daniel",Myrick, Daniel
258555,"Mérimée, Prosper",Merimee, Prosper
258857,"Müller, Ray (III)",Muller, Ray
259019,"Nabokov, Vladimir",Nabokov, Vladimir
259114,"Nadeau, Gary (I)",Nadeau, Gary
259238,"Nagahara, Shuichi",Nagahara, Shuichi
259366,"Nagel, James (I)",Nagel, James
259482,"Naha, Ed",Naha, Ed
259592,"Nair, Mira",Nair, Mira
259789,"Nakamura, Itoko",Nakamura, Itoko
259857,"Nakano, Desmond",Nakano, Desmond
259984,"Nalevansky, Steven",Nalevansky, Steven
260176,"Nankin, Michael",Nankin, Michael
260387,"Narcejac, Thomas",Narcejac, Thomas
260508,Nas,,
260555,"Nash, Alanna",Nash, Alanna
260605,"Nash, Ogden",Nash, Ogden
260673,"Nasr, Constantine (I)",Nasr, Constantine
260779,"Natale, Roberto (I)",Natale, Roberto
260782,"Natali, Vincenzo",Natali, Vincenzo
260844,"Nathan, Mort",Nathan, Mort
260851,"Nathan, Robert (II)",Nathan, Robert
260874,"Nathanson, E.M.",Nathanson, E M 
260875,"Nathanson, Jeff",Nathanson, Jeff
260977,"Naughton, Edmund",Naughton, Edmund
261047,"Nava, Gregory",Nava, Gregory
261467,"Neal, Lex",Neal, Lex
261508,"Neame, Christopher (I)",Neame, Christopher
261511,"Neame, Ronald",Neame, Ronald
261816,"Negroponte, Michel",Negroponte, Michel
261856,"Neiderman, Andrew (I)",Neiderman, Andrew
262087,"Nelson, Carl (II)",Nelson, Carl
262121,"Nelson, Don (II)",Nelson, Don
262173,"Nelson, Jessie (I)",Nelson, Jessie
262239,"Nelson, Michael J.",Nelson, Michael J 
262577,"Nesheim, Berit",Nesheim, Berit
262608,"Ness, Eliot (I)",Ness, Eliot
262735,"Neubach, Ernst",Neubach, Ernst
262855,"Neumann, Kurt (I)",Neumann, Kurt
262892,"Neumeier, Edward",Neumeier, Edward
263096,"Newby, Chris",Newby, Chris
263217,"Newman, Brenda (I)",Newman, Brenda
263231,"Newman, David (III)",Newman, David
263276,"Newman, Leslie (I)",Newman, Leslie
263299,"Newman, Randy (I)",Newman, Randy
263313,"Newman, Sydney",Newman, Sydney
263323,"Newman, Walter (I)",Newman, Walter
263353,"Newsom, Ted",Newsom, Ted
263397,"Newton, Jeremiah",Newton, Jeremiah
263433,"Newton, Theodore (II)",Newton, Theodore
263538,"Ng, See-Yuen",Ng, See-Yuen
263566,"Ngangura, Mweze",Ngangura, Mweze
263569,"Ngema, Mbongeni",Ngema, Mbongeni
263725,"Ni, Kuang",Ni, Kuang
263736,"Niami, Ramin",Niami, Ramin
263774,"Niccol, Andrew",Niccol, Andrew
263796,"Nichetti, Maurizio",Nichetti, Maurizio
263821,"Nicholas, Constantine",Nicholas, Constantine
263825,"Nicholas, Genevieve",Nicholas, Genevieve
263827,"Nicholas, Gregor",Nicholas, Gregor
263866,"Nicholls, David (IV)",Nicholls, David
263917,"Nichols, Dudley",Nichols, Dudley
263969,"Nichols, Sue C.",Nichols, Sue C 
264016,"Nicholson, Michael (II)",Nicholson, Michael
264041,"Nicholson, William",Nicholson, William
264075,"Nickens, Daryl G.",Nickens, Daryl G 
264098,"Nickles, Michael A.",Nickles, Michael A 
264635,"Nieves Conde, José Antonio",Nieves Conde, Jose Antonio
265040,"Nimoy, Jeff",Nimoy, Jeff
265041,"Nimoy, Leonard",Nimoy, Leonard
265048,"Nin, Anaïs",Nin, Anais
265290,"Nissen, Brian (II)",Nissen, Brian
265292,"Nissen, Frank",Nissen, Frank
265894,"Nolan, Christopher (I)",Nolan, Christopher
265936,"Nolan, William F.",Nolan, William F 
265988,"Nolley, Lance",Nolley, Lance
266078,"Noonan, Chris",Noonan, Chris
266095,"Noonan, Tom (I)",Noonan, Tom
266141,"Norberg, Greg",Norberg, Greg
266150,"Norbu, Khyentse",Norbu, Khyentse
266208,"Nordhoff, Charles",Nordhoff, Charles
266341,"Norman, Floyd",Norman, Floyd
266362,"Norman, Marc",Norman, Marc
266364,"Norman, Marsha",Norman, Marsha
266458,"Norris, Chuck",Norris, Chuck
266477,"Norris, Kathleen (I)",Norris, Kathleen
266498,"Norris, William (II)",Norris, William
266532,"North, Duncan",North, Duncan
266533,"North, Edmund H.",North, Edmund H 
266559,"North, Sterling",North, Sterling
266633,"Norton, John (I)",Norton, John
266645,"Norton, Mary (I)",Norton, Mary
266666,"Nortvedt, Reidun (I)",Nortvedt, Reidun
266675,"Norville, John",Norville, John
266975,"Novello, Ivor",Novello, Ivor
267183,"Nowra, Louis",Nowra, Louis
267242,"Noé, Gaspar",Noe, Gaspar
267313,"Nugent, Frank S.",Nugent, Frank S 
267436,"Nunez, Victor",Nunez, Victor
267490,"Nuridsany, Claude",Nuridsany, Claude
267505,"Nursall, Tom",Nursall, Tom
267571,"Nutter, Mark (I)",Nutter, Mark
267794,"Nyswaner, Ron",Nyswaner, Ron
267888,"Nóti, Károly",Noti, Karoly
267997,"O'Bannon, Dan (I)",O'Bannon, Dan
267998,"O'Bannon, Rockne S.",O'Bannon, Rockne S 
268000,"O'Barr, James",O'Barr, James
268106,"O'Brien, John (I)",O'Brien, John
268110,"O'Brien, John (XXXVI)",O'Brien, John
